Borough,Neighborhood,Zip,naics,est,Median Income,White Pop,Afr Am Pop,Asian Pop,Native Am Pacific Pop,Other Pop,Multi Race Pop,Lat,Lng,Total
Queens,North Queens,11357,713940,5,81053,28912,205,9362,15,15,1193,40.78663,-73.80969,39702
Queens,North Queens,11358,713940,6,65932,16059,459,16591,0,0,894,40.76138,-73.79756,34003
Queens,North Queens,11360,713940,3,84476,12738,180,5791,0,0,301,40.78021,-73.78056,19010
Queens,Northeast Queens,11361,713940,6,82020,14572,964,11334,0,0,633,40.76276,-73.77285,27503
Queens,Northeast Queens,11362,713940,1,80828,9075,186,8089,0,0,469,40.76144,-73.73341,17819
Queens,Northeast Queens,11364,713940,1,71030,14707,931,18079,4,4,694,40.7467,-73.75986,34419
Brooklyn,Northwest Brooklyn,11201,713940,26,116446,39710,8353,7233,134,134,3316,40.69378,-73.99131,58880
Brooklyn,Northwest Brooklyn,11205,713940,4,51574,20970,14864,3499,7,7,1634,40.69343,-73.96553,40981
Brooklyn,Northwest Brooklyn,11215,713940,15,116893,53737,3081,5488,0,0,4444,40.66782,-73.98313,66750
Brooklyn,Northwest Brooklyn,11217,713940,8,99085,23229,7685,3010,23,23,1661,40.68204,-73.97848,35631
Brooklyn,Northwest Brooklyn,11231,713940,6,93575,25184,5023,1951,0,0,2067,40.68024,-74.00052,34225
Queens,Northwest Queens,11101,713940,14,57866,13414,4814,5970,40,40,1351,40.74892,-73.93912,25629
Queens,Northwest Queens,11102,713940,4,60436,19180,3555,5499,47,47,870,40.77028,-73.924,29198
Queens,Northwest Queens,11103,713940,7,65229,26680,1021,5820,46,46,1334,40.76303,-73.91426,34947
Queens,Northwest Queens,11104,713940,3,63122,17715,384,5407,0,0,668,40.74403,-73.92119,24174
Queens,Northwest Queens,11105,713940,3,68050,27702,916,5100,0,0,979,40.77683,-73.91037,34697
Queens,Northwest Queens,11106,713940,1,60725,21585,2795,8557,0,0,1878,40.7614,-73.92806,34815
Staten Island,Port Richmond,10302,713940,3,60968,11856,3330,1255,2,2,768,40.63115,-74.13699,17213
Staten Island,Port Richmond,10310,713940,1,69838,14011,5256,1546,0,0,1056,40.63245,-74.1167,21869
Queens,Rockaways,11691,713940,2,42434,26523,30289,1907,62,62,1053,40.601,-73.75582,59896
Queens,Rockaways,11692,713940,1,45816,4941,11997,1193,0,0,492,40.59247,-73.79277,18623
Queens,Rockaways,11694,713940,2,77547,17506,1463,616,0,0,236,40.57847,-73.84172,19821
Staten Island,South Shore,10306,713940,7,80025,46587,1597,3499,0,0,930,40.56962,-74.11691,52613
Staten Island,South Shore,10307,713940,1,81356,14736,53,465,0,0,52,40.50843,-74.24217,15306
Staten Island,South Shore,10308,713940,2,91953,27805,304,1417,14,14,214,40.5512,-74.15078,29768
Staten Island,South Shore,10309,713940,13,100343,31146,367,1277,0,0,226,40.53309,-74.21447,33016
Staten Island,South Shore,10312,713940,3,90797,55809,721,3419,47,47,677,40.5435,-74.17707,60720
Bronx,Southeast Bronx,10461,713940,5,55847,24520,4689,6005,45,45,1869,40.84567,-73.84025,37173
Bronx,Southeast Bronx,10462,713940,3,49962,18480,21810,10074,20,20,3951,40.84338,-73.85973,54355
Bronx,Southeast Bronx,10465,713940,5,74079,26954,5188,1513,7,7,1405,40.82598,-73.81958,35074
Bronx,Southeast Bronx,10473,713940,1,38924,23831,24898,1179,0,0,2081,40.81926,-73.86059,51989
Queens,Southeast Queens,11004,713940,1,93315,6521,1115,5863,42,42,690,40.74409,-73.71107,14273
Queens,Southeast Queens,11411,713940,1,87231,429,18617,65,0,0,364,40.69428,-73.73713,19475
Queens,Southeast Queens,11413,713940,1,83459,957,39347,579,82,82,678,40.6719,-73.75203,41725
